item_name,base_price,freshness,days_old,stock,demand_score,market_noise,time_of_day,season,is_weekend,dynamic_price,price_change,scenario,created_at
apple,120,90.0,2,16,1.73,0.9,afternoon,monsoon,True,171.08,51.08,scarcity_price_surge,2026-05-10T20:22:38.304711
potato,20,91.0,3,10,1.49,0.95,afternoon,summer,False,28.5,8.5,normal_market,2026-05-10T10:22:38.304724
mango,150,85.0,1,17,1.98,1.05,morning,summer,False,217.5,67.5,scarcity_price_surge,2026-05-09T14:22:38.304735
carrot,35,60.0,4,103,1.49,0.9,morning,winter,True,33.77,-1.23,weekend_peak_demand,2026-05-12T08:22:38.304747
potato,20,85.0,5,38,1.37,0.91,afternoon,winter,False,22.14,2.14,normal_market,2026-05-10T22:22:38.304759
banana,40,28.0,6,76,0.73,1.12,evening,winter,True,30.95,-9.05,waste_prevention_discount,2026-05-11T17:22:38.304771
mango,150,55.0,3,59,1.42,1.24,evening,summer,True,217.5,67.5,temporary_market_spike,2026-05-12T01:22:38.304805
apple,120,95.0,1,10,1.7,1.06,evening,summer,False,174.0,54.0,scarcity_price_surge,2026-05-12T23:22:38.304818
onion,25,84.0,4,88,1.34,0.97,afternoon,monsoon,True,23.84,-1.16,normal_market,2026-05-11T19:22:38.304830
onion,25,100.0,0,5,1.29,0.9,afternoon,summer,False,33.75,8.75,normal_market,2026-05-12T23:22:38.304842
carrot,35,40.0,6,61,0.99,0.85,morning,monsoon,True,24.29,-10.71,weekend_peak_demand,2026-05-10T07:22:38.304854
carrot,35,50.0,5,81,1.11,0.97,morning,summer,False,25.67,-9.33,normal_market,2026-05-13T01:22:38.304867
onion,25,92.0,2,57,1.67,1.08,morning,winter,False,36.25,11.25,normal_market,2026-05-12T20:22:38.304879
potato,20,100.0,0,87,1.69,0.91,afternoon,monsoon,False,21.62,1.62,normal_market,2026-05-12T18:22:38.304891
tomato,30,46.0,3,37,0.92,0.77,afternoon,summer,True,18.53,-11.47,normal_market,2026-05-11T23:22:38.304903
potato,20,97.0,1,96,1.68,0.98,morning,winter,False,23.96,3.96,normal_market,2026-05-11T08:22:38.304916
cabbage,28,76.0,3,110,1.55,1.02,evening,winter,True,35.88,7.88,normal_market,2026-05-10T00:22:38.304928
tomato,30,82.0,1,26,1.51,0.77,evening,summer,False,30.89,0.89,normal_market,2026-05-09T17:22:38.304940
cabbage,28,92.0,1,105,1.48,1.11,evening,monsoon,False,36.02,8.02,normal_market,2026-05-11T18:22:38.304952
apple,120,80.0,4,81,1.44,0.96,morning,monsoon,True,119.02,-0.98,weekend_peak_demand,2026-05-12T01:22:38.304963
potato,20,88.0,4,28,1.32,1.09,afternoon,monsoon,False,26.66,6.66,normal_market,2026-05-13T01:22:38.304975
potato,20,82.0,6,57,1.33,0.99,morning,summer,True,24.54,4.54,weekend_peak_demand,2026-05-11T13:22:38.304987
tomato,30,10.0,5,45,0.47,0.92,evening,winter,False,14.29,-15.71,clearance_low_freshness,2026-05-10T10:22:38.304999
tomato,30,82.0,1,108,1.79,1.1,morning,summer,False,37.75,7.75,normal_market,2026-05-09T13:22:38.305012
banana,40,64.0,3,92,1.0,0.96,afternoon,summer,False,29.85,-10.15,normal_market,2026-05-12T07:22:38.305023
carrot,35,80.0,2,60,1.44,0.96,afternoon,winter,False,47.57,12.57,normal_market,2026-05-12T02:22:38.305035
potato,20,85.0,5,38,1.61,0.94,morning,winter,False,25.57,5.57,normal_market,2026-05-10T17:22:38.305046
carrot,35,100.0,0,64,2.11,1.03,evening,winter,False,50.75,15.75,normal_market,2026-05-12T15:22:38.305057
mango,150,40.0,4,87,1.55,1.17,morning,summer,True,162.03,12.03,weekend_peak_demand,2026-05-12T22:22:38.305069
onion,25,100.0,0,113,1.74,1.07,afternoon,monsoon,False,32.17,7.17,normal_market,2026-05-09T20:22:38.305082
cabbage,28,100.0,0,38,2.13,1.06,morning,summer,True,40.6,12.6,weekend_peak_demand,2026-05-10T23:22:38.305095
tomato,30,0,6,36,0.31,0.99,evening,summer,False,13.5,-16.5,clearance_low_freshness,2026-05-11T12:22:38.305108
mango,150,85.0,1,116,1.63,1.0,morning,summer,False,198.41,48.41,normal_market,2026-05-10T14:22:38.305121
potato,20,100.0,0,87,1.83,1.04,afternoon,monsoon,True,25.56,5.56,normal_market,2026-05-12T02:22:38.305134
cabbage,28,92.0,1,37,2.08,1.09,afternoon,winter,False,40.6,12.6,normal_market,2026-05-12T23:22:38.305146
carrot,35,60.0,4,45,1.07,1.15,evening,monsoon,False,40.83,5.83,normal_market,2026-05-12T12:22:38.305157
tomato,30,64.0,2,67,1.09,1.1,evening,winter,False,34.7,4.7,normal_market,2026-05-11T17:22:38.305168
carrot,35,90.0,1,63,2.16,1.1,morning,winter,False,50.75,15.75,normal_market,2026-05-12T16:22:38.305180
carrot,35,80.0,2,13,1.42,0.98,evening,monsoon,False,50.75,15.75,normal_market,2026-05-11T05:22:38.305200
onion,25,80.0,5,102,1.59,1.05,morning,winter,True,28.2,3.2,weekend_peak_demand,2026-05-11T18:22:38.305215
mango,150,70.0,2,55,1.09,0.93,morning,winter,False,148.93,-1.07,normal_market,2026-05-12T06:22:38.305226
potato,20,82.0,6,73,1.39,1.1,evening,summer,False,28.5,8.5,normal_market,2026-05-11T16:22:38.305239
onion,25,80.0,5,53,1.34,0.9,morning,monsoon,False,27.6,2.6,normal_market,2026-05-10T20:22:38.305250
mango,150,85.0,1,109,1.99,0.82,afternoon,winter,True,143.24,-6.76,normal_market,2026-05-11T13:22:38.305261
tomato,30,64.0,2,114,1.36,0.82,afternoon,summer,False,21.19,-8.81,normal_market,2026-05-12T20:22:38.305273
carrot,35,80.0,2,89,1.36,0.91,evening,summer,False,33.13,-1.87,normal_market,2026-05-10T02:22:38.305285
apple,120,100.0,0,43,1.52,0.93,morning,winter,False,162.55,42.55,normal_market,2026-05-09T22:22:38.305297
cabbage,28,84.0,2,109,1.9,1.08,afternoon,winter,False,40.43,12.43,normal_market,2026-05-09T19:22:38.305308
cabbage,28,84.0,2,46,1.97,1.03,evening,winter,True,40.6,12.6,normal_market,2026-05-09T21:22:38.305329
apple,120,75.0,5,101,1.44,1.04,morning,monsoon,False,124.68,4.68,normal_market,2026-05-10T07:22:38.305341
mango,150,55.0,3,16,1.28,0.94,afternoon,summer,False,183.56,33.56,normal_market,2026-05-12T13:22:38.305354
apple,120,100.0,0,56,1.54,0.96,afternoon,summer,False,160.63,40.63,normal_market,2026-05-11T06:22:38.305366
cabbage,28,100.0,0,109,2.32,0.88,morning,winter,True,40.6,12.6,weekend_peak_demand,2026-05-12T18:22:38.305378
cabbage,28,76.0,3,14,1.72,0.97,morning,summer,False,40.6,12.6,scarcity_price_surge,2026-05-09T08:22:38.305389
potato,20,97.0,1,57,1.2,1.06,morning,winter,False,27.82,7.82,normal_market,2026-05-12T01:22:38.305401
mango,150,25.0,5,84,0.59,1.24,evening,winter,False,97.51,-52.49,waste_prevention_discount,2026-05-11T16:22:38.305413
cabbage,28,60.0,5,117,0.89,1.1,afternoon,monsoon,False,22.47,-5.53,normal_market,2026-05-12T07:22:38.305425
cabbage,28,68.0,4,87,1.65,0.94,afternoon,winter,False,29.7,1.7,normal_market,2026-05-09T11:22:38.305437
potato,20,97.0,1,33,1.68,1.03,morning,monsoon,True,29.0,9.0,weekend_peak_demand,2026-05-09T08:22:38.305449
potato,20,94.0,2,70,1.2,1.05,afternoon,winter,True,25.78,5.78,normal_market,2026-05-10T05:22:38.305461
potato,20,97.0,1,19,1.47,1.04,afternoon,monsoon,False,29.0,9.0,normal_market,2026-05-11T11:22:38.305473
tomato,30,28.0,4,107,0.9,0.87,afternoon,monsoon,True,17.05,-12.95,waste_prevention_discount,2026-05-10T22:22:38.305485
banana,40,28.0,6,72,0.56,1.12,afternoon,summer,False,27.06,-12.94,waste_prevention_discount,2026-05-11T22:22:38.305497
cabbage,28,92.0,1,82,1.47,1.11,evening,summer,False,35.93,7.93,normal_market,2026-05-11T12:22:38.305509
tomato,30,0,6,29,0.42,0.97,evening,summer,False,13.5,-16.5,clearance_low_freshness,2026-05-11T02:22:38.305522
carrot,35,90.0,1,118,1.52,1.0,morning,summer,False,39.36,4.36,normal_market,2026-05-10T02:22:38.305534
carrot,35,90.0,1,85,1.98,1.01,morning,monsoon,True,44.5,9.5,weekend_peak_demand,2026-05-11T05:22:38.305546
apple,120,80.0,4,105,1.17,0.96,morning,winter,True,110.5,-9.5,weekend_peak_demand,2026-05-10T08:22:38.305558
cabbage,28,84.0,2,59,1.39,0.92,evening,monsoon,True,33.81,5.81,normal_market,2026-05-11T22:22:38.305570
tomato,30,100.0,0,5,1.81,1.17,afternoon,monsoon,True,43.5,13.5,scarcity_price_surge,2026-05-10T11:22:38.305582
banana,40,64.0,3,100,1.02,0.93,afternoon,winter,True,29.09,-10.91,normal_market,2026-05-11T23:22:38.305594
onion,25,92.0,2,100,1.53,0.95,evening,monsoon,True,27.89,2.89,normal_market,2026-05-11T02:22:38.305606
carrot,35,60.0,4,19,1.21,0.93,afternoon,summer,True,36.61,1.61,normal_market,2026-05-13T01:22:38.305618
tomato,30,64.0,2,70,1.48,0.81,morning,summer,False,27.67,-2.33,normal_market,2026-05-09T23:22:38.305629
banana,40,88.0,1,54,1.46,0.84,evening,winter,False,46.09,6.09,normal_market,2026-05-10T18:22:38.305642
banana,40,100.0,0,11,1.98,0.94,morning,winter,True,58.0,18.0,scarcity_price_surge,2026-05-12T13:22:38.305653
onion,25,92.0,2,113,1.21,1.11,morning,monsoon,True,29.06,4.06,weekend_peak_demand,2026-05-10T11:22:38.305665
potato,20,91.0,3,38,1.58,1.09,evening,summer,False,29.0,9.0,normal_market,2026-05-11T17:22:38.305676
tomato,30,100.0,0,77,1.65,0.75,afternoon,summer,False,32.27,2.27,normal_market,2026-05-12T13:22:38.305688
cabbage,28,68.0,4,46,1.39,1.08,afternoon,summer,False,32.97,4.97,normal_market,2026-05-13T05:22:38.305699
cabbage,28,100.0,0,85,1.88,1.04,afternoon,winter,False,40.6,12.6,normal_market,2026-05-10T23:22:38.305711
potato,20,82.0,6,119,1.46,1.02,evening,monsoon,True,22.08,2.08,normal_market,2026-05-10T18:22:38.305723
onion,25,88.0,3,114,1.18,1.04,morning,summer,True,26.33,1.33,weekend_peak_demand,2026-05-12T02:22:38.305734
cabbage,28,60.0,5,120,1.25,1.12,afternoon,monsoon,False,25.43,-2.57,normal_market,2026-05-09T07:22:38.305756
tomato,30,64.0,2,34,1.72,1.12,afternoon,monsoon,True,43.5,13.5,normal_market,2026-05-09T06:22:38.305768
tomato,30,46.0,3,58,1.07,1.02,afternoon,monsoon,True,30.3,0.3,normal_market,2026-05-11T14:22:38.305779
apple,120,85.0,3,107,1.37,0.96,afternoon,summer,True,114.92,-5.08,normal_market,2026-05-12T17:22:38.305792
mango,150,85.0,1,73,1.5,1.11,morning,summer,False,217.5,67.5,normal_market,2026-05-11T13:22:38.305805
mango,150,85.0,1,54,1.7,1.2,morning,winter,True,217.5,67.5,weekend_peak_demand,2026-05-10T09:22:38.305816
potato,20,82.0,6,50,1.11,1.04,afternoon,monsoon,False,23.08,3.08,normal_market,2026-05-10T09:22:38.305828
banana,40,100.0,0,70,1.87,0.87,morning,winter,False,55.29,15.29,normal_market,2026-05-12T22:22:38.305840
tomato,30,46.0,3,85,1.0,0.93,evening,summer,False,20.31,-9.69,normal_market,2026-05-12T22:22:38.305857
carrot,35,70.0,3,111,1.69,1.05,afternoon,winter,False,42.49,7.49,normal_market,2026-05-11T22:22:38.305909
tomato,30,10.0,5,33,0.54,0.96,evening,winter,False,15.28,-14.72,clearance_low_freshness,2026-05-12T07:22:38.305960
potato,20,82.0,6,9,1.84,0.99,evening,winter,True,29.0,9.0,scarcity_price_surge,2026-05-13T00:22:38.305984
tomato,30,46.0,3,79,1.04,0.8,afternoon,winter,True,19.96,-10.04,normal_market,2026-05-11T11:22:38.306004
mango,150,40.0,4,115,1.13,1.23,afternoon,winter,False,122.61,-27.39,temporary_market_spike,2026-05-10T02:22:38.306019
potato,20,88.0,4,62,1.83,1.08,evening,summer,False,29.0,9.0,normal_market,2026-05-11T03:22:38.306032
tomato,30,0,6,102,0.37,1.05,morning,winter,False,13.5,-16.5,waste_prevention_discount,2026-05-11T08:22:38.306048
onion,25,92.0,2,16,1.6,0.92,morning,monsoon,True,36.25,11.25,weekend_peak_demand,2026-05-12T18:22:38.306069
carrot,35,70.0,3,112,1.52,0.86,morning,winter,False,35.0,0.0,normal_market,2026-05-10T15:22:38.306084
onion,25,84.0,4,52,1.51,0.93,morning,summer,False,30.62,5.62,normal_market,2026-05-11T14:22:38.306097
apple,120,100.0,0,100,1.26,0.98,morning,summer,False,130.98,10.98,normal_market,2026-05-13T02:22:38.306110
tomato,30,0,6,41,0.46,1.16,afternoon,winter,True,14.58,-15.42,clearance_low_freshness,2026-05-11T10:22:38.306123
mango,150,55.0,3,36,1.22,1.12,evening,summer,False,201.98,51.98,normal_market,2026-05-12T11:22:38.306136
onion,25,76.0,6,6,1.66,1.06,evening,monsoon,False,36.25,11.25,scarcity_price_surge,2026-05-13T05:22:38.306149
carrot,35,100.0,0,95,1.63,0.93,evening,monsoon,True,41.13,6.13,normal_market,2026-05-12T06:22:38.306162
banana,40,100.0,0,38,1.55,0.95,afternoon,monsoon,False,53.12,13.12,normal_market,2026-05-12T02:22:38.306176
carrot,35,100.0,0,45,2.18,0.86,morning,winter,False,50.75,15.75,normal_market,2026-05-12T22:22:38.306189
cabbage,28,92.0,1,108,1.21,0.92,afternoon,monsoon,False,25.69,-2.31,normal_market,2026-05-10T02:22:38.306201
onion,25,100.0,0,85,1.82,0.99,afternoon,monsoon,True,30.35,5.35,normal_market,2026-05-10T17:22:38.306213
banana,40,28.0,6,21,0.51,0.96,afternoon,winter,False,22.8,-17.2,normal_market,2026-05-11T23:22:38.306225
carrot,35,90.0,1,114,1.73,0.86,afternoon,monsoon,True,34.0,-1.0,normal_market,2026-05-09T14:22:38.306237
carrot,35,80.0,2,68,1.35,0.88,morning,monsoon,True,37.88,2.88,weekend_peak_demand,2026-05-10T13:22:38.306249
carrot,35,60.0,4,104,1.72,0.91,morning,winter,True,36.2,1.2,weekend_peak_demand,2026-05-11T04:22:38.306261
cabbage,28,60.0,5,42,1.26,1.14,morning,summer,True,33.24,5.24,weekend_peak_demand,2026-05-10T06:22:38.306273
carrot,35,90.0,1,33,2.17,0.89,morning,winter,False,50.75,15.75,normal_market,2026-05-10T22:22:38.306285
potato,20,82.0,6,41,1.23,1.05,afternoon,summer,False,24.11,4.11,normal_market,2026-05-12T20:22:38.306298
cabbage,28,76.0,3,43,1.83,1.04,afternoon,winter,True,40.6,12.6,normal_market,2026-05-10T03:22:38.306311
tomato,30,0,6,70,0.56,1.04,morning,monsoon,True,16.78,-13.22,weekend_peak_demand,2026-05-10T22:22:38.306323
banana,40,28.0,6,92,0.77,1.07,morning,winter,True,23.88,-16.12,waste_prevention_discount,2026-05-09T06:22:38.306335
carrot,35,90.0,1,35,1.9,1.08,morning,summer,False,50.75,15.75,normal_market,2026-05-10T08:22:38.306348
mango,150,55.0,3,15,2.03,1.15,afternoon,summer,True,217.5,67.5,scarcity_price_surge,2026-05-09T09:22:38.306360
apple,120,70.0,6,40,1.12,1.06,morning,winter,True,136.98,16.98,weekend_peak_demand,2026-05-12T09:22:38.306372
banana,40,100.0,0,48,1.71,1.15,evening,winter,False,58.0,18.0,normal_market,2026-05-12T08:22:38.306385
mango,150,55.0,3,36,1.76,0.83,afternoon,summer,False,159.66,9.66,normal_market,2026-05-10T02:22:38.306397
cabbage,28,100.0,0,67,2.17,0.98,morning,monsoon,True,40.6,12.6,weekend_peak_demand,2026-05-12T21:22:38.306409
mango,150,70.0,2,107,1.24,0.72,afternoon,monsoon,False,93.99,-56.01,normal_market,2026-05-09T11:22:38.306422
potato,20,88.0,4,75,1.2,1.0,afternoon,winter,True,23.66,3.66,normal_market,2026-05-10T07:22:38.306435
apple,120,80.0,4,78,1.43,1.09,afternoon,monsoon,False,156.53,36.53,normal_market,2026-05-11T14:22:38.306449
potato,20,97.0,1,12,1.72,0.91,evening,winter,False,29.0,9.0,scarcity_price_surge,2026-05-10T14:22:38.306462
banana,40,88.0,1,16,2.07,1.0,morning,winter,True,58.0,18.0,scarcity_price_surge,2026-05-11T02:22:38.306475
apple,120,70.0,6,8,1.02,0.95,morning,winter,False,137.1,17.1,normal_market,2026-05-13T03:22:38.306487
mango,150,10.0,6,104,0.45,1.09,afternoon,winter,False,67.5,-82.5,waste_prevention_discount,2026-05-10T10:22:38.306500
cabbage,28,60.0,5,118,1.01,0.87,evening,monsoon,True,19.91,-8.09,normal_market,2026-05-10T06:22:38.306513
mango,150,100.0,0,119,1.9,1.2,afternoon,monsoon,False,217.5,67.5,temporary_market_spike,2026-05-09T12:22:38.306525
apple,120,85.0,3,71,1.36,0.97,morning,summer,False,148.28,28.28,normal_market,2026-05-10T19:22:38.306537
mango,150,85.0,1,96,1.36,1.04,morning,monsoon,True,162.96,12.96,weekend_peak_demand,2026-05-12T18:22:38.306549
potato,20,82.0,6,94,1.85,0.95,evening,monsoon,True,22.68,2.68,normal_market,2026-05-10T04:22:38.306561
cabbage,28,68.0,4,102,1.34,0.95,evening,winter,True,29.9,1.9,normal_market,2026-05-09T07:22:38.306573
apple,120,90.0,2,44,1.66,0.98,morning,summer,False,167.16,47.16,normal_market,2026-05-10T03:22:38.306585
cabbage,28,60.0,5,68,1.7,1.13,afternoon,winter,True,40.6,12.6,normal_market,2026-05-11T19:22:38.306597
cabbage,28,92.0,1,77,1.43,0.92,afternoon,monsoon,True,33.27,5.27,normal_market,2026-05-11T12:22:38.306609
carrot,35,60.0,4,9,1.27,1.11,evening,monsoon,True,47.99,12.99,normal_market,2026-05-10T14:22:38.306620
apple,120,80.0,4,62,1.55,1.02,evening,winter,True,163.24,43.24,normal_market,2026-05-10T17:22:38.306632
banana,40,88.0,1,58,1.34,1.17,morning,summer,False,58.0,18.0,normal_market,2026-05-09T10:22:38.306644
onion,25,88.0,3,29,1.49,1.11,evening,winter,True,36.25,11.25,normal_market,2026-05-10T22:22:38.306656
onion,25,80.0,5,42,1.09,1.07,afternoon,monsoon,False,29.12,4.12,normal_market,2026-05-13T05:22:38.306668
tomato,30,64.0,2,60,1.09,1.16,morning,summer,False,35.58,5.58,normal_market,2026-05-10T23:22:38.306683
potato,20,82.0,6,59,1.35,1.06,evening,summer,False,27.17,7.17,normal_market,2026-05-13T05:22:38.306695
carrot,35,80.0,2,7,2.39,1.0,morning,winter,True,50.75,15.75,scarcity_price_surge,2026-05-10T07:22:38.306707
tomato,30,64.0,2,76,1.19,1.07,morning,winter,False,33.77,3.77,normal_market,2026-05-10T23:22:38.306718
tomato,30,100.0,0,22,1.71,1.13,afternoon,summer,True,43.5,13.5,normal_market,2026-05-11T11:22:38.306731
cabbage,28,68.0,4,87,1.39,0.86,morning,monsoon,False,22.6,-5.4,normal_market,2026-05-13T06:22:38.306745
banana,40,76.0,2,64,1.34,1.11,afternoon,winter,False,50.49,10.49,normal_market,2026-05-10T23:22:38.306758
